max(page),target,available,target_original,target_conversion_review
https://www.factorybuys.com.au/products/euro-top-mattress-king,"[""Factory Buys 32cm Euro Top Mattress - King""]",True,Factory Buys 32cm Euro Top Mattress - King,False
https://dunlin.com.au/products/beadlight-cirrus,"[""Beadlight Cirrus LED Reading Light""]",True,Beadlight Cirrus LED Reading Light,False
https://themodern.net.au/products/hamar-plant-stand-ash,"[""Hamar Plant Stand - Ash""]",True,Hamar Plant Stand - Ash,False
https://furniturefetish.com.au/products/oslo-office-chair-white,[],True,,False
https://hemisphereliving.com.au/products/,[],False,,False
https://home-buy.com.au/products/bridger-pendant-larger-lamp-metal-brass,[],False,,False
https://interiorsonline.com.au/products/interiors-online-gift-card,"[""$50 RJ Living Gift Card"", ""$100 RJ Living Gift Card"", ""$200 RJ Living Gift Card"", ""$400 RJ Living Gift Card"", ""$500 RJ Living Gift Card"", ""$1000 RJ Living Gift Card""]",True,"$50 RJ Living Gift Card, $100 RJ Living Gift Card, $200 RJ Living Gift Card, $400 RJ Living Gift Card, $500 RJ Living Gift Card, $1000 RJ Living Gift Card",True
https://beckurbanfurniture.com.au/products/page/2/,[],False,,False
https://livingedge.com.au/products/tables/dining,"[""Linear Wood Table"", ""Saarinen Dining Table, Oval"", ""Midst Round Dining Table"", ""Circular Dining Table"", ""Slab Dining Table, Round"", ""Bigfoot™ Table"", ""Bell Dining Table"", ""Melt Dining Table"", ""Double Bell Dining Table"", ""Lamina Dining Table"", ""Platner Dining Table"", ""Nelson™ Swag Leg Dining Table, Rectangular"", ""Saarinen Dining Table, Round"", ""Base Table"", ""Palisade Dining Table"", ""Sunday Dining Table"", ""Spoke Dining Table"", ""Eclipse Dining Table"", ""Florence Knoll Dining Table, Rectangle"", ""Eclipso Cafe Table"", ""Bicorn Cafe Table"", ""Groove Table, Oval"", ""Hiroki Table"", ""Officina Table""]",True,"Linear Wood Table, Saarinen Dining Table, Oval, Midst Round Dining Table, Circular Dining Table, Slab Dining Table, Round, Bigfoot™ Table, Bell Dining Table, Melt Dining Table, Double Bell Dining Table, Lamina Dining Table, Platner Dining Table, Nelson™ Swag Leg Dining Table, Rectangular, Saarinen Dining Table, Round, Base Table, Palisade Dining Table, Sunday Dining Table, Spoke Dining Table, Eclipse Dining Table, Florence Knoll Dining Table, Rectangle, Eclipso Cafe Table, Bicorn Cafe Table, Groove Table, Oval, Hiroki Table, Officina Table",True
https://edenliving.online/collections/summerloving/products/nice-lounge-1,[],False,,False
https://www.ourfurniturewarehouse.com.au/products/athens-3pce-lounge-includes-2x-armless-3-seater-and-corner-ottoman-in-grey-storm-fabric?_pos=1&_sid=9f9ca4320&_ss=r,[],False,,False
https://cane-line.co.uk/collections/news-2020/products/breeze-sunbed-5569,[],False,,False
https://haute-living.com/products/beam-desk,[],False,,False
https://www.knoll.com/design-plan/products/by-designer/knoll,[],False,,False
https://www.balirepublic.com.au/products/fabric-cleaner,[],True,,False
https://vastinterior.com.au/products/samson-daybed-single-2,"[""Samson Daybed Single""]",True,Samson Daybed Single,False
https://www.hudsonfurniture.com.au/products/string-weave-timber-stool,"[""String weave timber stool""]",True,String weave timber stool,False
https://premiumpatio.com.au/products/outdoor-tables/page/3/,[],False,,False
https://dhfonline.com/products/gift-card,"[""Gift Card""]",True,Gift Card,False
https://furnish123watertown.com/products/,[],False,,False
https://www.tandemarbor.com/products/kaiser-box-bed-blush-plush-velvet,"[""The Kaiser Box Bed Blush Plush Velvet""]",True,The Kaiser Box Bed Blush Plush Velvet,False
https://www.perchfurniture.com/products/hoyt-chair,"[""Hoyt Chair""]",True,Hoyt Chair,False
http://www.vawayside.net/store/products/tag/beds,[],False,,False
https://curiousgrace.com.au/products/cleo-desk-lamp,[],True,,False
https://modshop1.com/collections/amalfi/products/amalfi-3-door-credenza,[],False,,False
https://www.scandesign.com/products/pavia-sectional-ivory,[],False,,False
https://www.sofamania.com/products/carl-victorian-inspired-velvet-button-detail-vanity-accent-stool,[],False,,False
https://www.fentonandfenton.com.au/products/gift-card&media=http://cdn.shopify.com/s/files/1/1909/9637/products/GiftVouchers_Product_1024x1024.jpg&description=Gift%20Card%20%23Art-Lover%20%23Birthday%20%23Colour-Lover,[],False,,False
https://4-chairs.com/products/mason-chair,[],False,,False
https://www.theinside.com/products/x-bench-onyx-austin-stripe-by-old-world-weavers/PTM_XBench_OnyxAustinStripeByOldWorldWeavers,"[""Custom Upholstered Ottomans"", ""X Bench"", ""Skirted Storage Ottoman"", ""Drum Ottoman"", ""Parsons Ottoman"", ""Waterfall Ottoman"", ""Cube Ottoman""]",True,"Custom Upholstered Ottomans, X Bench, Skirted Storage Ottoman, Drum Ottoman, Parsons Ottoman, Waterfall Ottoman, Cube Ottoman",True
https://stationfurniture.store/products/milano,[],False,,False
https://pinchdesign.com/products/yves-desk,"[""Yves desk""]",True,Yves desk,False
https://www.do-shop.com/products/gift-card,"[""Gift Voucher""]",True,Gift Voucher,False
https://claytongrayhome.com/products/palecek-coco-ruffle-mirror,[],True,,False
https://dfohome.com/products/patio-furniture/swings/all-swings,"[""Home Products Patio Furniture Swings""]",True,Home Products Patio Furniture Swings,False
https://acmeshelving.com/collections/signs/products/sale,[],False,,False
https://www.kmpfurniture.com/fire_collection/products/beds_80.html,[],False,,False
https://www.jseitz.com/products/buddha,[],False,,False
https://www.furnitureworldgalleries.com/products/,[],True,,False
https://www.homekoncepts.com/products/furniture/tables/end-tables/,[],False,,False
https://cityfurnitureshop.com/collections/greenington/products/azara-bed,[],False,,False
https://www.theguestroomfurniture.com/products/,"[""Quality Home Furniture""]",True,Quality Home Furniture,False
https://www.danishinspirations.com/products/products/bedroom/page/3/,"[""MARCO High Chest"", ""MARCO King Bed"", ""MARCO Queen Bed"", ""MARCO Right Nightstand"", ""MARINI Mirror"", ""MARTI Double Dresser Grey"", ""MARTI Double Dresser Walnut"", ""Marti High Chest Grey"", ""MARTI High Chest Walnut"", ""MARTI King Bed Grey"", ""MARTI King Bed Walnut"", ""Marti Nightstand Grey"", ""MARTI Nightstand Walnut"", ""MARTI Queen Bed Grey"", ""MARTI Queen Bed Walnut"", ""MOTA King Bed""]",True,"MARCO High Chest, MARCO King Bed, MARCO Queen Bed, MARCO Right Nightstand, MARINI Mirror, MARTI Double Dresser Grey, MARTI Double Dresser Walnut, Marti High Chest Grey, MARTI High Chest Walnut, MARTI King Bed Grey, MARTI King Bed Walnut, Marti Nightstand Grey, MARTI Nightstand Walnut, MARTI Queen Bed Grey, MARTI Queen Bed Walnut, MOTA King Bed",True
https://columbineshowroom.com/products/,[],False,,False
https://emfurn.com/products/aaron-sofa,[],False,,False
https://fmvegas.com/products/carlo-dresser,[],False,,False
https://nicoyafurniture.com.au/products/playa-bowl,[],False,,False
https://galvinbrothers.co.uk/products/alfandbud,"[""(Perfectly) Imperfect Stool"", ""Cutler's Stool"", ""(Completely) Imperfect Side Table"", ""Bobbin Side Table"", ""Polygon Pedestal Lamp Table"", ""Polygon Pedestal Side Table"", ""Fluted Sideboard"", ""Bridle Mirror (Round)"", ""Furniture Care Kit"", ""(New) Octagon Side Table"", ""NEW NARRATIVES: BOBBIN CONSOLE""]",True,"(Perfectly) Imperfect Stool, Cutler's Stool, (Completely) Imperfect Side Table, Bobbin Side Table, Polygon Pedestal Lamp Table, Polygon Pedestal Side Table, Fluted Sideboard, Bridle Mirror (Round), Furniture Care Kit, (New) Octagon Side Table, NEW NARRATIVES: BOBBIN CONSOLE",True
https://tyfinefurniture.com/products/enso-platform-bed,"[""Enso Platform Bed Cherry""]",True,Enso Platform Bed Cherry,False
https://24estyle.com/products/eliza-fan,[],True,,False
https://shopspencerfurnituresiouxfalls.com/products/glass-lamp,[],False,,False
https://bryantscountrystore.com/products/deli-sandwich-carryout,[],False,,False
https://vincentdesign.com.au/products/spaltekanden-big-white,[],False,,False
https://magnolialane.biz/products/anika-cushion,"[""Lumière Round Chandelier"", ""Beach Five Door Curved-End TV Unit"", ""Bulu two door cabinet"", ""Amalfi Outdoor Parasol"", ""Fontaine Dining Table in solid American Oak"", ""Fontaine Counter Stool with half-moon curved back and metal legs"", ""Harbour Island Slim Outdoor Sunlounger in Grade A teak with white Sunbrella cushion"", ""Harbour Island Outdoor Coffee Table – oversize low"", ""Harbour Island Outdoor Coffee Table – High""]",False," Lumière Round Chandelier, Beach Five Door Curved-End TV Unit, Bulu two door cabinet, Amalfi Outdoor Parasol, Fontaine Dining Table in solid American Oak, Fontaine Counter Stool with half-moon curved back and metal legs, Harbour Island Slim Outdoor Sunlounger in Grade A teak with white Sunbrella cushion, Harbour Island Outdoor Coffee Table – oversize low, Harbour Island Outdoor Coffee Table – High",True
https://blupeter.com.au/products/tulip-object,[],True,,False
https://www.cranmorehome.com.au/products/gift-card,"[""GIFT CARD""]",True,GIFT CARD,False
https://www.vavoom.com.au/products/ebony-chest,"[""Gift Cards""]",True,Gift Cards,False
https://www.goodwoodfurniture.com.au/products/wardrobes/colonial-robe/,"[""Colonial Robe""]",True,Colonial Robe,False
https://valentinesfurniture.com.au/products/,"[""Emily"", ""Milan Sofa"", ""Hartford"", ""Nordic 11 Recliner""]",True,"Emily, Milan Sofa, Hartford, Nordic 11 Recliner",True
https://www.loungesplus.com.au/products/baird-fabric-lounge-package,"[""Fabric Lounges""]",True,Fabric Lounges,False
